id,name,type
1,1997,Year
2,1998,Year
3,1999,Year
4,2000,Year
5,2001,Year
6,2002,Year
7,2003,Year
8,2004,Year
9,2005,Year
10,2006,Year
11,2007,Year
12,2008,Year
13,2009,Year
14,2010,Year
15,2011,Year
16,2012,Year
17,2013,Year
18,2014,Year
19,2015,Year
20,2016,Year
21,2017,Year
22,2018,Year
23,2019,Year
24,2020,Year
25,2021,Year
26,2022,Year
27,2023,Year
28,2024,Year
29,gesture recognition,Technology
30,speech recognition,Technology
31,distributed interactive simulation,Technology
32,autonomous agents,Technology
33,vrml,Technology
34,virtual environments,Technology
35,text categorization,Technology
36,dialogue systems,Technology
37,knowledge representation,Technology
38,information retrieval,Technology
39,parsing,Technology
40,information extraction,Technology
41,machine translation,Technology
42,semantics,Technology
43,algorithms,Technology
44,controlled vocabulary,Technology
45,morphology,Technology
46,intelligent agents,Technology
47,ontologies,Technology
48,artificial intelligence,Technology
49,nlp systems,Technology
50,automatic indexing,Technology
51,statistical analysis,Technology
52,machine learning,Technology
53,automation,Technology
54,pay-per-click,Technology
55,text mining,Technology
56,umls,Technology
57,word sense disambiguation,Technology
58,social network analysis,Technology
59,software metrics,Technology
60,software quality,Technology
61,crowdsourcing,Technology
62,human computation,Technology
63,education technology,Technology
64,mathematical logic,Technology
65,quantifier elimination,Technology
66,question answering,Technology
67,deep learning,Technology
68,natural language inference,Technology
69,social media,Technology
70,data mining,Technology
71,intent recognition,Technology
72,n grams,Technology
73,chatbots,Technology
74,large language models,Technology
